artist_lower,album_lower,Spotify Album ID
sylvania,purgatorium,3N7qXMJIYhLphVNFkSMgZx
frostbite orckings,the orcish eclipse,36TJDT4HLzfLtQ8ShkfR5p
tortured conscience,one law one king,1gsSpjczf91xNyo5PyVUTz
eternal silence,3,4vKzm5hgvVNgEGSwgHyWTI
pedro botero,más sabe el diablo,1kSWmchCkQtbbIrZrMsnsc
pedro botero,desertor (versión 2023),25J2lXNGlYpUxyxRJnAcUH
pedro botero,rey acero (version 2023),5EEz4bwl9cCcEsYNN7EwQ6
insurrection,exiled to earth,3zA2gClkAkpehLXPVkvY0l
venom symbiote,ishimura's dead flesh shelter,19GKUxhBLjD4u9T8xhL2MF
become ethereal,ghost of you,4vacjwsIx9TaRcqPH6VsXJ
hauntologist,ozymandian,6EOwjjT5f3rcH4fTSUr48o
social decline,kommer mørket så?,0ixBk6RkWHNOs5UMJvHKjO
brightstorm,the change of season,1o9PCBwJAe8PDa45I59lZi
virus inhumanity,the black face of death,5HVeA9bF6k8ddUtYA2NzAf
mägo de oz,seremos huracán,6uUtRtDdkak9V8vjk62vXs
dharmah,lux in tenebris,0XjRPnPpNOJuqLzBtnozde
dharmah,the middle pillar (sushumná),3NNzbBYaVIBiLF0AhOWviM
antichrisis,nysnø,3ShVStXyWFxepNyNTS9AN1
fellowship,the winterlight chronicles,2FMmrXM88s0EWt8prnroZf
mana diagram,glitter wind,06VPfXSYqswGvYSme4DsxS
daedric chamber,black marsh eternal,32wKKAmO0qHUKVA3xtVKEk
sefirot,the mystical lybrary,1YLN4oFEqeNRgoxaeFVJ04
eutectica,[in]human,0wAU4rGg1EVyJcEmDDaoWG
wynter myst,december mmxxiii,4MG8LpXQlvr1IZgzZDoOYv
krig,that christmas night,4eXdKcqiXZZ7m7QaaaIMhr
doodsangst,wanneer de nacht mijn ziel opslokt,6hcuG69m6VFKLfXMcvQcMu
lord humongous,raped by the nukes,1VJ7RdcuE3pgBgiC2BrOL2
nekromanser,resurrected to the gates of valhalla,2M9mcsPYoADZM9y0XRjGdn
grisastres,la cathédrale des illusions,4NYiQ9wEEw0s6Bz5tuG4IO
balberith incinerum,marchando hacia la dominación,2gs2AE4TgVOJlB1tktGwDW
rites of baalberith,devilish side,6HebpNuSWBk1zSJ9xsM2Cg
disappointment,a lifeless dream,1Pyi4fWNwOdo6BjOQQHsxq
grave gnosis,pestilence crowned,29UUEgmtm5z2UWQdCK1ee8
aeraxyz,aeraxyz,42aJBZEkEs7BHnR6MiXLEw
clones of sirius,live demo,5d9oaUfoohcHvSI4ORO9N5
bergrizen,die falle,4dCPAY3YDjSrMK74gfXh2j
morgul vale,the undying lands,1VFFnSz60mRV1dddSsG0lI
árstíðir lífsins,hermalausaz,5bAjXPTy50JbS4368X3jxZ
evil scarecrow,release the krakhen,4FWK7ae0pWPgr8BkjtLukQ
inquisition,a hidden ceremony of blood and flesh,7Itfq3pvqozTixTHOEwGGh
challenger deep,iii. the path,0VTSfMyTGCDfUsonI6YAcK
funeral vomit,monumental putrescence,3dVyloawwIGWHcnnwYYWYn
yfel,beneath the mountain's vigil,2OhZq795JW8Yl29bjrf5uo
vltimas,miserere,0Z694GXoG18f4l2kF1ENFG
nimetön hauta,pimeyteen laskee joki,2XOvY9LqLpND3vd3F0INxb
aūkels,meddjan sklāit ten,7dXcmGlzKjdpspXshBO6bI
bleak transcendence,unrelenting stillness,1QjlgTGvT2z0cYj3yUMD93
frostnatt,i det høye nord,5NZQGP0PuNIyMiYiX4dfio
emotional suicide,the word,2zy95B0V54clRW0PLiXICY
violet cold,kosmik (acoustic version),2ZijR2JvtTwgSnTzmEpGa3
infernal abomination,guardiã da morte,35nc0xe3SVuK47AYBpoCGM
resistis,dissolving reality (demo),7fEflrS7XJDiah9Lobg6Tg
avathar,long lost forgotten future,7i4jC4OaHRIwfjh35CJXkM
zellos,in the twilight+admire,3IG3ME6Z8iysISuNhIrHhF
niovel,never strangers,4hgbKckLiUT5xO5wn89o5E
hatred cadaver,rituals of the black suns,6ofyCDZGG316QHPwKgPMMf
mulánima,la noche de los muertos,1v0XlOBCAULymSGbV5n7Qy
exord,orden de ejecución,6uQcgZviz0Sk8SdC5uymI1
sacred darkness,dark depth,1nv2rYmI8WBWf4JkkHTZaR
mortem aetaten,ao vivo em são paulo em chamas,4PZTEkbuQcziPInbQNyR1C
swagectomy,הָבָה נָגִילָה,1MW1245kZQRxXRX4wGYIap
second to sun,live at the third rome,0YU1QvOOlGVq5DK3zOs6c6
angel ripper,war against heaven,5zQ3xeAWwOxpgewtPIS38m
become the knight,at one (won't be saved pt. 2),7lpF08maNIwo1USELZRDGB
inner degraded,welcome to the sewers,5hbAFvsAhmTfDJihKNi3jZ
